,@flowId,@jitterSum,@txBytes,@rxBytes,@txPackets,@rxPackets,@lostPackets,jitterHistogram
0,1,+0ns,336,0,6,0,5,{'@nBins': '0'}
1,2,+0ns,336,0,6,0,5,{'@nBins': '0'}
2,3,+0ns,336,0,6,0,5,{'@nBins': '0'}
3,4,+0ns,336,0,6,0,5,{'@nBins': '0'}
4,5,+0ns,336,0,6,0,5,{'@nBins': '0'}
5,6,+0ns,336,0,6,0,5,{'@nBins': '0'}
6,7,+0ns,336,0,6,0,5,{'@nBins': '0'}
7,8,+0ns,336,0,6,0,5,{'@nBins': '0'}
8,9,+0ns,336,0,6,0,5,{'@nBins': '0'}
9,10,+0ns,336,0,6,0,5,{'@nBins': '0'}
10,11,+0ns,336,0,6,0,5,{'@nBins': '0'}
11,12,+0ns,336,0,6,0,5,{'@nBins': '0'}
12,13,+0ns,336,0,6,0,5,{'@nBins': '0'}
13,14,+0ns,336,0,6,0,5,{'@nBins': '0'}
14,15,+0ns,336,0,6,0,5,{'@nBins': '0'}
15,16,+0ns,336,0,6,0,5,{'@nBins': '0'}
16,17,+0ns,336,0,6,0,5,{'@nBins': '0'}
17,18,+0ns,336,0,6,0,5,{'@nBins': '0'}
18,19,+0ns,336,0,6,0,5,{'@nBins': '0'}
19,20,+0ns,336,0,6,0,5,{'@nBins': '0'}
20,21,+1.00336e+11ns,666913176,666832404,437609,437556,5,"{'@nBins': '23', 'bin': [{'@index': '0', '@start': '0', '@width': '0.001', '@count': '427933'}, {'@index': '1', '@start': '0.001', '@width': '0.001', '@count': '1026'}, {'@index': '2', '@start': '0.002', '@width': '0.001', '@count': '2093'}, {'@index': '3', '@start': '0.003', '@width': '0.001', '@count': '652'}, {'@index': '4', '@start': '0.004', '@width': '0.001', '@count': '1031'}, {'@index': '5', '@start': '0.005', '@width': '0.001', '@count': '1022'}, {'@index': '6', '@start': '0.006', '@width': '0.001', '@count': '816'}, {'@index': '7', '@start': '0.007', '@width': '0.001', '@count': '460'}, {'@index': '8', '@start': '0.008', '@width': '0.001', '@count': '696'}, {'@index': '9', '@start': '0.009', '@width': '0.001', '@count': '215'}, {'@index': '10', '@start': '0.01', '@width': '0.001', '@count': '323'}, {'@index': '11', '@start': '0.011', '@width': '0.001', '@count': '161'}, {'@index': '12', '@start': '0.012', '@width': '0.001', '@count': '126'}, {'@index': '13', '@start': '0.013', '@width': '0.001', '@count': '323'}, {'@index': '14', '@start': '0.014', '@width': '0.001', '@count': '83'}, {'@index': '15', '@start': '0.015', '@width': '0.001', '@count': '61'}, {'@index': '16', '@start': '0.016', '@width': '0.001', '@count': '177'}, {'@index': '17', '@start': '0.017', '@width': '0.001', '@count': '77'}, {'@index': '18', '@start': '0.018', '@width': '0.001', '@count': '43'}, {'@index': '19', '@start': '0.019', '@width': '0.001', '@count': '190'}, {'@index': '20', '@start': '0.02', '@width': '0.001', '@count': '40'}, {'@index': '21', '@start': '0.021', '@width': '0.001', '@count': '2'}, {'@index': '22', '@start': '0.022', '@width': '0.001', '@count': '5'}]}"
21,22,+0ns,336,0,6,0,5,{'@nBins': '0'}
22,23,+0ns,336,0,6,0,5,{'@nBins': '0'}
23,24,+0ns,336,0,6,0,5,{'@nBins': '0'}
24,25,+0ns,336,0,6,0,5,{'@nBins': '0'}
25,26,+1.65454e+11ns,11389368,11388536,218979,218963,6,"{'@nBins': '34', 'bin': [{'@index': '0', '@start': '0', '@width': '0.001', '@count': '206984'}, {'@index': '1', '@start': '0.001', '@width': '0.001', '@count': '867'}, {'@index': '2', '@start': '0.002', '@width': '0.001', '@count': '743'}, {'@index': '3', '@start': '0.003', '@width': '0.001', '@count': '786'}, {'@index': '4', '@start': '0.004', '@width': '0.001', '@count': '4004'}, {'@index': '5', '@start': '0.005', '@width': '0.001', '@count': '480'}, {'@index': '6', '@start': '0.006', '@width': '0.001', '@count': '880'}, {'@index': '7', '@start': '0.007', '@width': '0.001', '@count': '154'}, {'@index': '8', '@start': '0.008', '@width': '0.001', '@count': '213'}, {'@index': '9', '@start': '0.009', '@width': '0.001', '@count': '270'}, {'@index': '10', '@start': '0.01', '@width': '0.001', '@count': '1846'}, {'@index': '11', '@start': '0.011', '@width': '0.001', '@count': '75'}, {'@index': '12', '@start': '0.012', '@width': '0.001', '@count': '63'}, {'@index': '13', '@start': '0.013', '@width': '0.001', '@count': '39'}, {'@index': '14', '@start': '0.014', '@width': '0.001', '@count': '63'}, {'@index': '15', '@start': '0.015', '@width': '0.001', '@count': '393'}, {'@index': '16', '@start': '0.016', '@width': '0.001', '@count': '224'}, {'@index': '17', '@start': '0.017', '@width': '0.001', '@count': '94'}, {'@index': '18', '@start': '0.018', '@width': '0.001', '@count': '31'}, {'@index': '19', '@start': '0.019', '@width': '0.001', '@count': '36'}, {'@index': '20', '@start': '0.02', '@width': '0.001', '@count': '25'}, {'@index': '21', '@start': '0.021', '@width': '0.001', '@count': '42'}, {'@index': '22', '@start': '0.022', '@width': '0.001', '@count': '36'}, {'@index': '23', '@start': '0.023', '@width': '0.001', '@count': '162'}, {'@index': '24', '@start': '0.024', '@width': '0.001', '@count': '127'}, {'@index': '25', '@start': '0.025', '@width': '0.001', '@count': '83'}, {'@index': '26', '@start': '0.026', '@width': '0.001', '@count': '60'}, {'@index': '27', '@start': '0.027', '@width': '0.001', '@count': '50'}, {'@index': '28', '@start': '0.028', '@width': '0.001', '@count': '48'}, {'@index': '29', '@start': '0.029', '@width': '0.001', '@count': '39'}, {'@index': '30', '@start': '0.03', '@width': '0.001', '@count': '34'}, {'@index': '31', '@start': '0.031', '@width': '0.001', '@count': '10'}, {'@index': '33', '@start': '0.033', '@width': '0.001', '@count': '1'}]}"
